SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
55811010,0.318970286,34.27741834,BUSIA,0.318970286,34.27741834,BUSIA,
55785300,0.32315078,34.27750257,BUSIA,0.32306394,34.27744396,BUSIA,
55810269, , ,BUSIA,0.31640079,34.27793381,BUSIA,
55810268,0.316155477,34.27867389,BUSIA,0.316063268,34.2785448,BUSIA,
55810266,0.316855186,34.27967357,BUSIA,0.316855186,34.27967357,BUSIA,
55785307,0.318576735,34.27967967,BUSIA,0.318576735,34.27967967,BUSIA,
55810267,0.316310216,34.2796393,BUSIA,0.316230495,34.27982553,BUSIA,
55810271, , ,BUSIA,0.316972524,34.28009453,BUSIA,
55811011,0.318345992,34.2804697,BUSIA,0.318345992,34.2804697,BUSIA,
55946822,1.07633253,35.61191609,ELGEYO-MARAKWET,1.07633253,35.61191609,ELGEYO-MARAKWET,
55890063,1.07514767,35.61229282,ELGEYO-MARAKWET,1.07514767,35.61229282,ELGEYO-MARAKWET,
55890062,1.074800103,35.61231906,ELGEYO-MARAKWET,1.074800103,35.61231906,ELGEYO-MARAKWET,
55946821,1.076552051,35.61262732,ELGEYO-MARAKWET,1.076552051,35.61262732,ELGEYO-MARAKWET,
55946823,1.076289587,35.61285821,ELGEYO-MARAKWET,1.076289587,35.61285821,ELGEYO-MARAKWET,
55890054,1.069512072,35.61300042,ELGEYO-MARAKWET,1.069512072,35.61300042,ELGEYO-MARAKWET,
55890053,1.070683769,35.61331109,ELGEYO-MARAKWET,1.070683769,35.61331109,ELGEYO-MARAKWET,
55946824,1.075659374,35.61354059,ELGEYO-MARAKWET,1.075515399,35.61354783,ELGEYO-MARAKWET,
55946825,1.07689583,35.61397463,ELGEYO-MARAKWET,1.07689583,35.61397463,ELGEYO-MARAKWET,
55890055,1.068428212,35.61406117,ELGEYO-MARAKWET,1.068428212,35.61406117,ELGEYO-MARAKWET,
55890060,1.067800875,35.61444164,ELGEYO-MARAKWET,1.067800875,35.61444164,ELGEYO-MARAKWET,
